Guides - Phantasy Star Zero: Required EXP To Level Up Chart

 Printer Friendly Version

Phantasy Star Zero: Required EXP To Level Up Chart

This chart lists the total experience points you must accumulate in order to advance to a specific level on Phantasy Star Zero. Simply scroll to the appropriate place in the chart to see the experience requirements.

Level	Total EXP Required	EXP Needed for Next Level
1	0	70
2	70	90
3	160	130
4	290	210
5	500	300
6	800	400
7	1200	510
8	1710	630
9	2340	760
10	3100	900
11	4000	1050
12	5050	1210
13	6260	1380
14	7640	1560
15	9200	1750
16	10950	1950
17	12900	2160
18	15060	2380
19	17440	2610
20	20050	2860
21	22910	3130
22	26040	3420
23	29460	3730
24	33190	4060
25	37250	4410
26	41660	4780
27	46440	5170
28	51610	5580
29	57190	6010
30	63200	6460
31	69660	6930
32	76590	7420
33	84010	7930
34	91940	8460
35	100400	9010
36	109410	9580
37	118990	10170
38	129160	10780
39	139940	11410
40	151350	12070
41	163420	12760
42	176180	13480
43	189660	14230
44	203890	15010
45	218900	15820
46	234820	16660
47	251380	17530
48	268910	18430
49	287340	19360
50	306700	20320
51	327020	21310
52	348330	22330
53	370660	23380
54	394040	24460
55	418500	25570
56	444070	26710
57	470780	27880
58	498660	29080
59	527740	30310
60	558050	31580
61	589630	32890
62	622520	34240
63	656760	35630
64	692390	37060
65	729450	38530
66	767980	40040
67	808020	41590
68	849610	43180
69	892790	44810
70	937600	46480
71	984080	48190
72	1032270	49940
73	1082210	51730
74	1133940	53560
75	1187500	55430
76	1242930	57340
77	1300270	59290
78	1359560	61280
79	1420840	65070
80	1485910	70660
81	1556570	78050
82	1634620	87240
83	1721860	98230
84	1820090	111020
85	1931110	125610
86	2056720	142000
87	2198720	160190
88	2358910	180180
89	2539090	201970
90	2741060	225560
91	2966620	250950
92	3217570	278140
93	3495710	307130
94	3802840	337920
95	4140760	370510
96	4511270	404900
97	4916170	441090
98	5357260	479080
99	5836340	518870
100	6355210	Congratulations!

